20221213	21:38:35	f2040564-741b-4a6e-b9a0-2f12c781b2df	TypeError	Cannot read properties of undefined (reading 'split')	PATCH	/employees/id	undefined
20221213	21:38:57	7f794a40-d62d-42a3-8429-f9610a80e59e	TypeError	Cannot read properties of undefined (reading 'split')	PATCH	/employees/login	undefined
20221213	21:42:17	894f8942-56f4-4460-85a9-693d9bb73db7	ReferenceError	ObjectId is not defined	PATCH	/employees/if	undefined
20221213	21:43:19	0238fbd7-637a-49aa-a211-9e2c1d4f9b12	TypeError	Employee.findAndModify is not a function	PATCH	/employees/if	undefined
20221214	16:43:29	24fde827-2727-4850-bd66-98a624b1c38c	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices/myInvoices	undefined
20221214	16:54:29	baaf794a-2f75-47f6-a75e-8d5ed2564223	CastError	Cast to ObjectId failed for value "1" (type string) at path "_id" for model "Invoice"	GET	/invoices/1	undefined
20221214	17:10:16	8079b5e2-2b62-4919-ad25-c1550569f130	SyntaxError	Unexpected token } in JSON at position 37	PATCH	/customers/638eaeeb740790032c9a9b32	undefined
20221214	17:13:43	8299782b-dc38-486a-b4da-61d756b10201	TypeError	Cannot read properties of null (reading 'role')	PATCH	/customers/638eaeeb740790032c9a9b32	undefined
20221214	17:14:16	f996ef29-4d9a-4031-90e0-cab09c58a498	TypeError	Cannot read properties of null (reading 'role')	PATCH	/customers/638eaeeb740790032c9a9b32	undefined
20221214	17:14:39	60886b6c-02bb-4fa3-972b-19095482f8da	TypeError	Cannot read properties of null (reading 'role')	DELETE	/customers/638eaeeb740790032c9a9b32	undefined
20221214	17:14:43	c97dc676-789f-4558-9fe8-ef6eaa48f3bc	TypeError	Cannot read properties of null (reading 'role')	PATCH	/customers/638eaeeb740790032c9a9b32	undefined
20221214	17:33:21	25a97a11-9934-42ef-8abd-3f4f8b3615f7	TypeError	isAdmin.modelName is not a function	GET	/customers/	undefined
20221214	17:45:40	0b841737-9cf1-4728-bbdf-60b5c12833a3	SyntaxError	Unexpected string in JSON at position 158	POST	/customers	undefined
20221214	17:56:02	79056d83-6ccf-4119-96fe-7503cb5de82f	TypeError	Cannot read properties of null (reading 'role')	GET	/customers	undefined
20221214	17:58:06	acbafb47-fcfe-4804-912b-76aef772c15c	TypeError	Cannot read properties of null (reading 'role')	GET	/customers	undefined
20221214	18:39:02	76a120a2-c1c0-4cc6-8a6c-1be9ac01bb17	SyntaxError	Unexpected string in JSON at position 40	POST	/employees/login	undefined
20221214	18:39:17	e4ea2331-6b75-4433-9d9a-17f02385a26d	TypeError	Cannot read properties of undefined (reading 'state')	POST	/employees	undefined
20221214	18:39:32	2dc53acf-39b7-457b-8f67-6d5cf3ce02e1	TypeError	Cannot read properties of undefined (reading 'state')	POST	/employees	undefined
20221214	18:39:53	31eb0d1f-63cd-4f8e-a238-4dfd629200f3	TypeError	Cannot read properties of undefined (reading 'city')	POST	/employees	undefined
20221214	18:40:21	67ef3580-5db1-46b4-8905-c3abdb481473	TypeError	Cannot read properties of undefined (reading 'city')	POST	/employees	undefined
20221214	18:44:35	3083b50c-f667-4baa-9e2f-c58ce1e86bfa	SyntaxError	Unexpected token } in JSON at position 37	PATCH	/employees/6397d0814774fd856df22732	undefined
20221214	18:54:34	81fde2c3-42d2-4132-99a3-f04a99842ed4	TypeError	employee.select is not a function	PATCH	/employees/6397d0814774fd856df22732	undefined
20221214	18:56:19	4b3dcbbf-7c29-4647-8db6-97a540cdc4c5	TypeError	employee.select is not a function	PATCH	/employees/6397d0814774fd856df22732	undefined
20221214	19:24:31	c7b10bc2-35d0-4c51-92f7-816f218aa0da	TypeError	Cannot read properties of undefined (reading 'state')	POST	/employees	undefined
20221214	19:26:18	e7bc6902-4edb-415f-bcb0-8c3c6fa740eb	SyntaxError	Unexpected string in JSON at position 157	POST	/employees	undefined
20221214	19:28:20	2a3a1416-2c41-4b3d-ae93-135aea15e2c9	TypeError	Cannot read properties of null (reading 'email')	POST	/employees	undefined
20221214	19:29:54	6258bbe9-a00e-47ca-ae31-bf356e8ad756	TypeError	Cannot read properties of null (reading 'role')	POST	/invoices	undefined
20221214	19:33:12	86e25ca7-e83a-4e99-87ce-52b2d20e34a6	SyntaxError	Unexpected token } in JSON at position 14	GET	/invoices	undefined
20221214	19:51:03	c41ffafa-36de-4ab8-9716-8479e45c78f4	CastError	Cast to ObjectId failed for value "myInvoices" (type string) at path "_id" for model "Invoice"	GET	/invoices/myInvoices	undefined
20221214	19:51:50	928b962b-62f2-45f5-b1e8-dae6e065a1ff	CastError	Cast to ObjectId failed for value "myInvoices" (type string) at path "_id" for model "Invoice"	GET	/invoices/myInvoices	undefined
20221214	19:52:35	8964e666-e7b0-42b4-aa80-714587c35293	CastError	Cast to ObjectId failed for value "myInvoice" (type string) at path "_id" for model "Invoice"	GET	/invoices/myInvoice	undefined
20221214	19:53:03	a53e3a7f-ad74-420b-940c-63df7ad8e065	CastError	Cast to ObjectId failed for value "myInvoice" (type string) at path "_id" for model "Invoice"	GET	/invoices/myInvoice	undefined
20221214	19:54:04	1c84180c-c774-4426-b474-382670c32dbf	CastError	Cast to ObjectId failed for value "myInvoices" (type string) at path "_id" for model "Invoice"	GET	/invoices/myInvoices	undefined
20221214	19:55:50	738999f8-ddcc-4f45-b331-239cda13ee1c	CastError	Cast to ObjectId failed for value "myInvoices" (type string) at path "_id" for model "Invoice"	GET	/invoices/myInvoices	undefined
20221214	20:35:50	8d4510aa-600d-4a4f-b49a-6c0e77627148	CastError	Cast to ObjectId failed for value "myInvoices" (type string) at path "_id" for model "Invoice"	GET	/invoices/myInvoices	undefined
20221214	20:52:45	6c57de84-32da-4c80-96b1-a257559adb6a	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices/myInvoices	undefined
20221214	21:05:12	bc005046-d543-4610-95f8-10f57d286e48	ReferenceError	mongoose is not defined	POST	/invoices	undefined
20221214	21:38:49	78a57fe3-32b8-4150-aa32-8f81dc485919	TypeError	Invoice.find(...).virtual is not a function	GET	/invoices	undefined
20221214	21:46:13	014cbd3f-92b6-49f0-83c4-82c49aae70da	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221214	21:47:13	52d67b65-dfa7-404a-8488-34278a962731	TypeError	Invoice.find(...).virtual is not a function	GET	/invoices	undefined
20221214	21:48:22	ab429b26-e49b-49cf-a2fd-93263ace849f	MissingSchemaError	Schema hasn't been registered for model "employee".
Use mongoose.model(name, schema)	GET	/invoices	undefined
20221214	21:58:25	87267ae8-1232-4d01-b9f2-29bfcb41c181	StrictPopulateError	Cannot populate path `invoices` because it is not in your schema. Set the `strictPopulate` option to false to override.	GET	/invoices	undefined
20221215	17:30:05	c1211ae7-08a5-4318-8430-68a19d2df3dc	SyntaxError	Unexpected token } in JSON at position 49	GET	/employees/639a9467d6f6adcd84ceb1ff	undefined
20221215	18:35:16	eca55a28-f70f-4dc5-9e52-13bb67f5430f	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices/myInvoices/639bc9ca870ea695db5d49ed	undefined
20221215	18:40:40	26bb719b-080b-41b6-95c6-140dd3f04c46	CastError	Cast to ObjectId failed for value "639bc9ca870ea695db5d49" (type string) at path "_id" for model "Invoice"	DELETE	/invoices/myInvoices/639bc9ca870ea695db5d49	undefined
20221215	18:41:33	f38b9f35-e1dc-43c5-bc5d-d90eda1a5c2e	CastError	Cast to ObjectId failed for value "639bc9ca870ea695db5d49" (type string) at path "_id" for model "Invoice"	DELETE	/invoices/myInvoices/639bc9ca870ea695db5d49	undefined
20221215	18:42:44	3674fc6b-f372-4b76-abeb-c61b5aff1bd5	CastError	Cast to ObjectId failed for value "639bc9ca870ea695db5d49" (type string) at path "_id" for model "Invoice"	DELETE	/invoices/myInvoices/639bc9ca870ea695db5d49	undefined
20221215	18:43:29	3c8d5ee0-d851-4deb-88fc-3bfcd9e98931	CastError	Cast to ObjectId failed for value "639bc9ca870ea695db5d49" (type string) at path "_id" for model "Invoice"	DELETE	/invoices/myInvoices/639bc9ca870ea695db5d49	undefined
20221215	18:43:59	2f33a957-bcb5-43ac-84a1-e98ef2fd43ba	CastError	Cast to ObjectId failed for value "639bc9ca870ea695db5d49" (type string) at path "_id" for model "Invoice"	DELETE	/invoices/myInvoices/639bc9ca870ea695db5d49	undefined
20221215	18:44:02	5401b395-3027-4d07-9375-b8122d0bdae3	CastError	Cast to ObjectId failed for value "639bc9ca870ea695db5d49" (type string) at path "_id" for model "Invoice"	DELETE	/invoices/myInvoices/639bc9ca870ea695db5d49	undefined
20221215	18:53:56	edcbebac-1fbd-4cee-b3f2-6a32755a82da	ReferenceError	invIds is not defined	GET	/estimates/myEstimates	undefined
20221215	19:40:08	a6c8fcf1-a7aa-419f-954d-edf737601022	TypeError	Cannot read properties of undefined (reading 'split')	GET	/estimates/myEstimates	undefined
20221215	19:41:07	d090b583-2634-4e13-8247-a54a068164c4	CastError	Cast to ObjectId failed for value "{ _id: 'id' }" (type Object) at path "_id" for model "Item"	POST	/items/id	undefined
20221215	19:41:09	36172903-d52a-468f-b21f-73db868c9aec	CastError	Cast to ObjectId failed for value "{ _id: 'id' }" (type Object) at path "_id" for model "Item"	POST	/items/id	undefined
20221216	20:59:45	46ab7d94-d458-41e6-b77b-47b00dfb18f5	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:05:11	f07ebe70-253d-4ac0-8de8-e68b21735e32	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:06:41	65a63b37-b125-47bb-b54b-7e268f0d8202	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:06:49	a5903bde-a6df-46d8-b1be-b466e443b649	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:06:56	9c98d285-913e-4d06-975e-f367de6bbd22	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:11:03	09cf5806-e07c-4aad-8223-33ad97a1ec64	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:13:03	cdb392d6-72ab-4051-aac8-04533165d790	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:20:05	180ab373-438b-49b2-bbd8-08498760593e	TypeError	cookies.split is not a function	GET	/invoices	undefined
20221216	21:20:32	783f8425-51e0-4347-b663-b13e5b6efb90	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:21:04	7d2457f9-d324-4c0e-a07e-c9bb08be2e5d	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:22:29	78c00e9b-e402-42ac-8623-7fb269b0084c	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:25:48	01d997e6-d906-4daf-a1ea-0875190cf5ac	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:25:58	05a9a19c-aada-480e-9bce-7579ea04c8d0	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:29:07	5c48f2b4-de89-4374-9569-a58647cc2ddb	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:29:33	0eee1940-5843-42e1-bd38-f550b924aa90	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:29:51	863ed208-7ef6-4b26-88e8-a7e514fa36b1	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:40:33	cb5f310c-13c4-4a54-ac3a-6d75bdd2a5ed	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:40:37	79d45e96-2dce-4aa3-a806-242ec0cf7779	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:40:59	30805618-6f62-4f41-b909-a1e083985fb9	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:41:19	70ebeae8-29eb-4c2b-ac76-f659522a7e73	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:41:55	01db7deb-24d4-4deb-bf2b-172aa820ad74	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:45:52	1e31462c-2403-436b-a698-ba7b75ac022b	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:46:05	8cba6681-a82f-4f78-89ad-e138fff93a8e	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:48:51	7c791e9c-1953-4ae3-b273-8bc5888a2a20	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:49:04	eb845754-8082-451c-a543-20927fe1a6b3	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:54:17	85556587-0f08-4c1e-98ef-f207e3206d68	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:54:20	52d1aed3-3020-488e-84ab-6564e53d3ccb	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
20221216	21:54:31	10671f55-08f2-4fec-810c-6eab3a15518b	TypeError	Cannot read properties of undefined (reading 'split')	GET	/invoices	undefined
